"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"7",7,NA,"FC Sochaux",2368,859,632,877,"3386:3297",89,3209,"Latest news »"
"8",8,NA,"OGC Nice",2292,850,585,857,"3178:3223",-45,3134,"Latest news »"
"9",9,NA,"FC Nantes",1994,846,556,591,"2764:2156",608,3092,"Latest news »"
"10",10,NA,"Paris Saint-Germain",1819,871,474,474,"2898:1940",958,3087,"Latest news »"
"11",11,NA,"Stade Rennes",2324,811,604,909,"3136:3396",-260,3037,"Latest news »"
"12",12,NA,"RC Lens",2185,796,591,798,"3069:3103",-34,2979,"Latest news »"
"13",13,NA,"RC Strasbourg",2183,744,592,847,"3026:3205",-179,2824,"Latest news »"
"14",14,NA,"FC Metz",2248,739,604,905,"2869:3336",-467,2820,"Latest news »"
"15",15,NA,"Toulouse FC",1872,633,514,724,"2321:2514",-193,2413,"Latest news »"
"16",16,NA,"Stade Reims",1332,562,329,441,"2217:1842",375,2015,"Latest news »"
"17",17,NA,"Nîmes Olympique",1384,513,335,536,"2045:2065",-20,1874,"Latest news »"
"18",18,NA,"Montpellier HSC",1426,481,384,561,"1842:2048",-206,1827,"Latest news »"
"19",19,NA,"AJ Auxerre",1196,483,346,367,"1526:1251",275,1795,"Latest news »"
"20",20,NA,"SC Bastia",1264,433,301,530,"1542:1813",-271,1599,"Latest news »"
"21",21,NA,"Racing Club de France",1020,425,227,368,"1920:1698",222,1502,"Latest news »"
"22",22,NA,"Valenciennes FC",1214,375,338,501,"1460:1773",-313,1462,"Latest news »"
"23",23,NA,"AS Nancy",1132,375,303,454,"1433:1545",-112,1428,"Latest news »"
"24",24,NA,"Angers SCO",1098,359,306,433,"1500:1653",-153,1383,"Latest news »"
"25",25,NA,"CS Sedan",834,291,229,314,"1243:1255",-12,1102,"Latest news »"
"26",26,NA,"Le Havre AC",872,257,240,375,"1003:1284",-281,1011,"Latest news »"
"27",27,NA,"AS Cannes",749,246,194,309,"988:1141",-153,932,"Latest news »"
"28",28,NA,"FC Rouen",678,233,161,284,"859:980",-121,860,"Latest news »"
"29",29,NA,"SM Caen",684,200,184,300,"710:951",-241,784,"Latest news »"
"30",30,NA,"FC Sète",504,198,111,195,"826:877",-51,705,"Latest news »"
"31",31,NA,"Stade Brest",587,168,173,246,"652:835",-183,677,"Latest news »"
"32",32,NA,"FC Nancy",530,181,124,225,"794:925",-131,667,"Latest news »"
"33",33,NA,"ESTAC Troyes",652,165,167,320,"717:1079",-362,662,"Latest news »"
"34",34,NA,"FC Lorient",551,162,165,224,"635:774",-139,651,"Latest news »"
"35",35,NA,"Stade Français",538,168,144,226,"760:896",-136,648,"Latest news »"
"36",36,NA,"Stade Laval",494,157,145,192,"564:658",-94,616,"Latest news »"
"37",37,NA,"EA Guingamp",482,150,122,210,"509:653",-144,572,"Latest news »"
"38",38,NA,"RC Roubaix",434,156,103,175,"670:769",-99,571,"Latest news »"
"39",39,NA,"Red Star FC",540,142,142,256,"717:996",-279,568,"Latest news »"
"40",40,NA,"SC Toulon",452,134,128,190,"454:589",-135,529,"Latest news »"
"41",41,NA,"AC Ajaccio",486,131,131,224,"513:738",-225,522,"Latest news »"
"42",42,NA,"Olympique Lillois Lille",195,98,35,62,"365:258",107,329,"Latest news »"
"43",43,NA,"Excelsior Roubaix",194,75,47,72,"404:388",16,272,"Latest news »"
"44",44,NA,"SC Fives Lille",194,77,37,80,"348:323",25,268,"Latest news »"
"45",45,NA,"Le Mans FC",228,65,69,94,"238:301",-63,264,"Latest news »"
"46",46,NA,"FC Antibes",194,65,43,86,"296:387",-91,238,"Latest news »"
"47",47,NA,"Dijon FCO",218,50,56,112,"222:364",-142,206,"Latest news »"
"48",48,NA,"FC Mulhouse",184,51,35,98,"291:440",-149,188,"Latest news »"
"49",49,NA,"Thonon Évian FC",152,45,36,71,"180:221",-41,171,"Latest news »"
"50",50,NA,"Tours FC",152,44,38,70,"217:264",-47,170,"Latest news »"
"51",51,NA,"Olympique Alès",184,42,44,98,"251:415",-164,170,"Latest news »"
"52",52,NA,"Grenoble Foot 38",152,30,51,71,"138:214",-76,141,"Latest news »"
"53",53,NA,"Limoges FC",114,37,28,49,"149:172",-23,139,"Latest news »"
"54",54,NA,"Angoulême CFC",110,30,33,47,"122:175",-53,123,"Latest news »"
"55",55,NA,"Paris FC",114,31,29,54,"150:214",-64,122,"Latest news »"
"56",56,NA,"FC Martigues",114,27,36,51,"105:165",-60,117,"Latest news »"
"57",57,NA,"Amiens SC",104,25,31,48,"99:144",-45,106,"Latest news »"
"58",58,NA,"Chamois Niortais",38,11,10,17,"34:42",-8,43,"Latest news »"
"59",59,NA,"SR Colmar",34,12,7,15,"61:78",-17,43,"Latest news »"
"60",60,NA,"CA Paris (old)",44,13,4,27,"93:127",-34,43,"Latest news »"
"61",61,NA,"FC Gueugnon",38,8,14,16,"27:46",-19,38,"Latest news »"
"62",62,NA,"GFC Ajaccio",38,8,13,17,"37:58",-21,37,"Latest news »"
"63",63,NA,"AS Béziers",34,9,6,19,"38:77",-39,33,"Latest news »"
"64",64,NA,"FC Istres",38,6,14,18,"25:51",-26,32,"Latest news »"
"65",65,NA,"LB Châteauroux",34,8,7,19,"31:59",-28,31,"Latest news »"
"66",66,NA,"US Boulogne",38,7,10,21,"31:62",-31,31,"Latest news »"
"67",67,NA,"Clermont Foot",26,7,7,12,"27:42",-15,28,"Latest news »"
"68",68,NA,"Avenir Club Avignonnais",38,7,6,25,"30:80",-50,27,"Latest news »"
"69",69,NA,"AS Aixoise",38,6,8,24,"48:95",-47,26,"Latest news »"
"70",70,NA,"AC Arles-Avignon",38,3,11,24,"21:70",-49,20,"Latest news »"
"71",71,NA,"Club Francais Paris",18,5,3,10,"43:50",-7,18,"Latest news »"
"72",72,NA,"Hyères FC",18,4,4,10,"22:29",-7,16,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Real Madrid",2940,1759,591,590,"6293:3303",2990,5868,"Latest news »"
"2",2,NA,"FC Barcelona",2939,1696,601,642,"6306:3283",3023,5689,"Latest news »"
