"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"25",25,NA,"Avispa Fukuoka",328,83,48,197,"356:605",-249,297,"Latest news »"
"26",26,NA,"Ventforet Kofu",272,69,73,130,"255:404",-149,280,"Latest news »"
"27",27,NA,"Montedio Yamagata",136,30,36,70,"108:199",-91,126,"Latest news »"
"28",28,NA,"Yokohama FC",106,19,19,68,"89:203",-114,76,"Latest news »"
"29",29,NA,"Matsumoto Yamaga",68,13,20,35,"51:94",-43,59,"Latest news »"
"30",30,NA,"Tokushima Vortis",72,13,11,48,"50:129",-79,50,"Latest news »"
"31",31,NA,"V-Varen Nagasaki",34,8,6,20,"39:59",-20,30,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Shandong Taishan",754,354,201,199,"1246:886",360,1263,"Latest news »"
"2",2,NA,"Beijing Guoan",754,343,222,189,"1161:794",367,1248,"Latest news »"
"3",3,NA,"Shanghai Shenhua",754,315,227,212,"1115:928",187,1166,"Latest news »"
"4",4,NA,"Guangzhou FC",490,267,112,111,"971:530",441,913,"Latest news »"
"5",5,NA,"Tianjin Jinmen Tiger",706,233,217,256,"876:962",-86,910,"Latest news »"
"6",6,NA,"Dalian Shide",502,240,144,118,"784:527",257,858,"Latest news »"
"7",7,NA,"Guangzhou City",658,193,192,273,"824:1006",-182,771,"Latest news »"
"8",8,NA,"Changchun Yatai",574,198,160,216,"729:767",-38,754,"Latest news »"
"9",9,NA,"Liáoníng Hóngyùn",552,180,151,221,"706:808",-102,691,"Latest news »"
"10",10,NA,"Beijing Renhe FC",460,149,141,170,"549:593",-44,588,"Latest news »"
"11",11,NA,"Shenzhen FC",478,144,148,186,"551:631",-80,577,"Latest news »"
"12",12,NA,"Chongqing Liangjiang Athletic",510,140,156,214,"590:753",-163,576,"Latest news »"
"13",13,NA,"Qingdao Manatee",488,139,148,201,"508:632",-124,565,"Latest news »"
"14",14,NA,"Jiangsu FC",372,133,117,122,"501:461",40,516,"Latest news »"
"15",15,NA,"Shanghai Port FC",252,136,67,49,"518:278",240,475,"Latest news »"
"16",16,NA,"Henan Songshan Longmen",400,118,121,161,"426:529",-103,475,"Latest news »"
"17",17,NA,"Sichuan Guancheng",296,101,94,101,"386:387",-1,397,"Latest news »"
"18",18,NA,"Zhejiang Professional",298,87,92,119,"325:392",-67,353,"Latest news »"
"19",19,NA,"Dalian Pro",192,59,49,84,"263:338",-75,226,"Latest news »"
"20",20,NA,"August 1st (Army Team)",196,49,69,78,"190:268",-78,216,"Latest news »"
"21",21,NA,"Hebei FC",162,58,40,64,"231:264",-33,214,"Latest news »"
"22",22,NA,"Shanghai Shenxin",180,46,43,91,"176:265",-89,181,"Latest news »"
"23",23,NA,"Wuhan Guanggu",164,41,39,84,"135:271",-136,162,"Latest news »"
"24",24,NA,"Yunnan Hongta",108,37,29,42,"118:129",-11,140,"Latest news »"
"25",25,NA,"Tianjin Tianhai",90,28,31,31,"127:134",-7,115,"Latest news »"
"26",26,NA,"Cangzhou Mighty Lions",102,26,37,39,"123:168",-45,115,"Latest news »"
"27",27,NA,"Qingdao Hailifeng",88,29,25,34,"99:106",-7,112,"Latest news »"
"28",28,NA,"Wuhan FC",102,25,30,47,"121:170",-49,105,"Latest news »"
"29",29,NA,"Chengdu Blades",90,23,29,38,"89:123",-34,98,"Latest news »"
"30",30,NA,"Xiamen Lanshi",82,19,24,39,"72:118",-46,81,"Latest news »"
"31",31,NA,"Guangzhou Songri",70,16,26,28,"46:79",-33,74,"Latest news »"
"32",32,NA,"Guizhou FC",60,19,9,32,"73:111",-38,66,"Latest news »"
"33",33,NA,"Shanghai United",54,14,19,21,"50:60",-10,61,"Latest news »"
"34",34,NA,"Yanbian FC",60,15,14,31,"71:105",-34,59,"Latest news »"
"35",35,NA,"Shaanxi Guoli",82,13,20,49,"83:156",-73,59,"Latest news »"
"36",36,NA,"Qingdao FC",42,6,7,29,"39:122",-83,25,"Latest news »"
"37",37,NA,"Shàoxing Keqiáo Yuèjia",30,5,6,19,"35:56",-21,21,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"FC Goa",149,62,41,46,"263:201",62,227,"Latest news »"
"2",2,NA,"Mumbai City FC",143,60,34,49,"198:194",4,214,"Latest news »"
"3",3,NA,"Chennaiyin FC",147,49,42,56,"200:214",-14,189,"Latest news »"
"4",4,NA,"Kerala Blasters",141,40,50,51,"171:198",-27,170,"Latest news »"
"5",5,NA,"Bengaluru FC",102,48,24,30,"156:115",41,168,"Latest news »"
"6",6,NA,"Odisha FC",140,41,41,58,"198:238",-40,164,"Latest news »"
"7",7,NA,"NorthEast United FC",140,38,44,58,"153:200",-47,158,"Latest news »"
"8",8,NA,"ATK",107,40,35,32,"138:122",16,155,"Latest news »"
"9",9,NA,"Jamshedpur FC",93,36,30,27,"129:117",12,138,"Latest news »"
"10",10,NA,"FC Pune City",80,27,19,34,"97:110",-13,100,"Latest news »"
"11",11,NA,"ATK Mohun Bagan FC",42,23,12,7,"69:44",25,81,"Latest news »"
"12",12,NA,"Hyderabad FC",58,19,20,19,"91:81",10,77,"Latest news »"
"13",13,NA,"SC East Bengal",40,4,16,20,"40:69",-29,28,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"AFC Ajax",2209,1477,390,342,"5627:2220",3407,4821,"Latest news »"
"2",2,NA,"PSV Eindhoven",2210,1351,470,389,"5099:2327",2772,4523,"Latest news »"
"3",3,NA,"Feyenoord",2209,1254,511,444,"4710:2533",2177,4273,"Latest news »"
"4",4,NA,"FC Twente",2142,922,575,645,"3491:2863",628,3332,"Latest news »"
"5",5,NA,"FC Utrecht",2210,822,562,826,"3320:3460",-140,3028,"Latest news »"
"6",6,NA,"Sparta Rotterdam",1869,644,520,705,"2784:2931",-147,2452,"Latest news »"
"7",7,NA,"FC Groningen",1836,618,512,706,"2552:2788",-236,2366,"Latest news »"
"8",8,NA,"Roda JC Kerkrade",1700,636,438,626,"2567:2558",9,2346,"Latest news »"
"9",9,NA,"AZ Alkmaar",1511,658,371,482,"2550:2064",486,2345,"Latest news »"
"10",10,NA,"NAC Breda",1688,529,440,719,"2239:2812",-573,2026,"Latest news »"
"11",11,NA,"ADO Den Haag",1574,509,404,661,"2226:2616",-390,1931,"Latest news »"
"12",12,NA,"Vitesse",1240,487,345,408,"1886:1716",170,1806,"Latest news »"
"13",13,NA,"Willem II",1539,470,347,722,"2125:2753",-628,1757,"Latest news »"
"14",14,NA,"NEC Nijmegen",1384,387,389,608,"1594:2168",-574,1550,"Latest news »"
"15",15,NA,"sc Heerenveen",1003,397,259,347,"1652:1555",97,1450,"Latest news »"
"16",16,NA,"MVV",1208,350,356,502,"1527:1992",-465,1406,"Latest news »"
"17",17,NA,"Go Ahead Eagles",1067,332,274,461,"1426:1743",-317,1270,"Latest news »"
"18",18,NA,"RKC Waalwijk",866,256,217,393,"1100:1423",-323,985,"Latest news »"
"19",19,NA,"FC Volendam",842,228,215,399,"994:1513",-519,899,"Latest news »"
"20",20,NA,"VVV-Venlo",808,221,206,381,"1035:1509",-474,869,"Latest news »"
"21",21,NA,"Fortuna Sittard",763,211,217,335,"910:1247",-337,850,"Latest news »"
"22",22,NA,"Heracles Almelo",714,222,162,330,"968:1292",-324,828,"Latest news »"
"23",23,NA,"PEC Zwolle",730,200,196,334,"924:1271",-347,796,"Latest news »"
"24",24,NA,"HFC Haarlem",612,172,178,262,"695:978",-283,694,"Latest news »"
"25",25,NA,"SBV Excelsior",748,168,186,394,"830:1399",-569,690,"Latest news »"
"26",26,NA,"De Graafschap",714,157,175,382,"773:1373",-600,646,"Latest news »"
"27",27,NA,"AFC DWS",430,147,117,166,"588:644",-56,558,"Latest news »"
"28",28,NA,"FC Den Bosch",510,132,133,245,"617:928",-311,529,"Latest news »"
"29",29,NA,"Fortuna '54",392,141,99,152,"635:700",-65,522,"Latest news »"
"30",30,NA,"SC Telstar",468,118,140,210,"530:754",-224,494,"Latest news »"
"31",31,NA,"USV Elinkwijk",234,65,50,119,"306:483",-177,245,"Latest news »"
"32",32,NA,"SC Cambuur",262,59,67,136,"299:488",-189,244,"Latest news »"
"33",33,NA,"FC Amsterdam",204,61,56,87,"263:321",-58,239,"Latest news »"
"34",34,NA,"Blauw Wit",196,65,42,89,"334:401",-67,237,"Latest news »"
"35",35,NA,"Holland Sport",136,37,34,65,"168:279",-111,145,"Latest news »"
"36",36,NA,"FC Dordrecht",204,31,46,127,"208:463",-255,139,"Latest news »"
"37",37,NA,"RBC Roosendaal",170,35,26,109,"164:358",-194,131,"Latest news »"
"38",38,NA,"NOAD Tilburg",136,33,30,73,"187:311",-124,129,"Latest news »"
"39",39,NA,"Sittardia",132,32,29,71,"148:256",-108,125,"Latest news »"
"40",40,NA,"FC Emmen",94,26,22,46,"113:185",-72,100,"Latest news »"
"41",41,NA,"Xerxes DZB",68,26,17,25,"92:95",-3,95,"Latest news »"
"42",42,NA,"FC Eindhoven",102,23,25,54,"107:209",-102,94,"Latest news »"
"43",43,NA,"BVC Amsterdam",68,20,20,28,"103:130",-27,80,"Latest news »"
"44",44,NA,"SC Veendam",68,12,23,33,"74:127",-53,59,"Latest news »"
"45",45,NA,"FC Wageningen",68,13,18,37,"72:137",-65,57,"Latest news »"
"46",46,NA,"De Volewijckers",64,15,10,39,"99:189",-90,55,"Latest news »"
"47",47,NA,"Helmond Sport",68,12,18,38,"93:162",-69,54,"Latest news »"
"48",48,NA,"SVV Schiedam",68,13,13,42,"62:142",-80,52,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"FCSB",2294,1275,533,486,"4296:2281",2015,4351,"Latest news »"
"2",2,NA,"Dinamo Bucuresti",2271,1203,504,564,"4208:2507",1701,4113,"Latest news »"
"3",3,NA,"Rapid Bucuresti",1748,770,425,553,"2559:2015",544,2735,"Latest news »"
"4",4,NA,"FC Universitatea Craiova",1522,668,332,522,"2247:1762",485,2336,"Latest news »"
"5",5,NA,"Arge<U+0219> Pite<U+0219>ti",1472,596,295,581,"1913:1866",47,2083,"Latest news »"
"6",6,NA,"Petrolul Ploiesti",1451,551,337,563,"1878:1817",61,1984,"Latest news »"
"7",7,NA,"SR Brasov",1429,533,313,583,"1765:1845",-80,1912,"Latest news »"
"8",8,NA,"FC Timisoara",1336,508,321,507,"1782:1839",-57,1845,"Latest news »"
"9",9,NA,"Universitatea Cluj",1474,494,328,652,"1834:2187",-353,1804,"Latest news »"
"10",10,NA,"FCM Bacau",1319,489,262,568,"1538:1809",-271,1729,"Latest news »"
"11",11,NA,"Farul Constanta",1328,487,267,574,"1619:1859",-240,1728,"Latest news »"
"12",12,NA,"UTA Arad",1141,442,268,431,"1659:1587",72,1594,"Latest news »"
"13",13,NA,"CFR Cluj",897,412,246,239,"1221:935",286,1470,"Latest news »"
"14",14,NA,"Sportul Studentesc",1068,403,233,432,"1415:1423",-8,1442,"Latest news »"
"15",15,NA,"Jiul Petrosani",1179,397,246,536,"1378:1802",-424,1437,"Latest news »"
"16",16,NA,"Progresul Bucuresti",945,379,189,377,"1353:1324",29,1326,"Latest news »"
"17",17,NA,"Otelul Galati",894,361,181,352,"1097:1113",-16,1262,"Latest news »"
"18",18,NA,"Gloria Bistrita",724,269,134,321,"903:1001",-98,941,"Latest news »"
"19",19,NA,"Politehnica Iasi",724,246,150,328,"811:991",-180,888,"Latest news »"
"20",20,NA,"ASA Târgu Mure<U+0219> (old)",690,251,109,330,"817:1025",-208,862,"Latest news »"
"21",21,NA,"Astra Giurgiu",579,231,155,193,"774:647",127,845,"Latest news »"
"22",22,NA,"Ceahlaul Piatra Neamt",596,202,134,260,"689:851",-162,740,"Latest news »"
"23",23,NA,"FC Hunedoara",562,210,98,254,"831:881",-50,728,"Latest news »"
"24",24,NA,"FC Bihor Oradea",572,181,118,273,"683:893",-210,661,"Latest news »"
"25",25,NA,"Gaz Metan Medias",548,160,162,226,"591:756",-165,642,"Latest news »"
"26",26,NA,"FC Politehnica Ia<U+0219>i",460,142,111,207,"521:681",-160,537,"Latest news »"
"27",27,NA,"Pandurii Târgu Jiu",412,139,113,160,"458:491",-33,524,"Latest news »"
"28",28,NA,"FC Vaslui",302,136,79,87,"391:304",87,487,"Latest news »"
"29",29,NA,"Olt Scornicesti",373,137,64,172,"424:546",-122,475,"Latest news »"
"30",30,NA,"CS Universitatea Craiova",286,133,69,84,"385:284",101,468,"Latest news »"
"31",31,NA,"FC Viitorul Constan<U+021B>a",327,126,90,111,"440:401",39,468,"Latest news »"
"32",32,NA,"CSM Scolar Resita",413,127,84,202,"531:757",-226,465,"Latest news »"
"33",33,NA,"FC Botosani",333,122,97,114,"399:391",8,463,"Latest news »"
"34",34,NA,"Chimia Râmnicu-Vâlcea",340,121,64,155,"368:533",-165,427,"Latest news »"
"35",35,NA,"CFR Timisoara",273,104,70,99,"406:392",14,382,"Latest news »"
"36",36,NA,"Inter Sibiu",272,110,47,115,"358:376",-18,377,"Latest news »"
"37",37,NA,"FCM Targoviste",298,95,64,139,"312:469",-157,349,"Latest news »"
"38",38,NA,"CA Oradea",268,93,62,113,"404:458",-54,341,"Latest news »"
"39",39,NA,"Concordia Chiajna",296,77,83,136,"301:423",-122,314,"Latest news »"
"40",40,NA,"FC Voluntari",268,78,73,117,"286:364",-78,307,"Latest news »"
"41",41,NA,"CS Târgu Mure<U+0219>",241,85,46,110,"360:418",-58,301,"Latest news »"
"42",42,NA,"FC Baia Mare",230,83,35,112,"267:370",-103,284,"Latest news »"
"43",43,NA,"FC Unirea",170,74,47,49,"199:162",37,269,"Latest news »"
"44",44,NA,"Victoria Bucuresti",169,70,33,66,"242:251",-9,243,"Latest news »"
"45",45,NA,"Gloria Buzau",238,64,45,129,"236:403",-167,237,"Latest news »"
"46",46,NA,"Olimpia Satu Mare",204,67,35,102,"210:323",-113,236,"Latest news »"
"47",47,NA,"Sepsi OSK",186,57,64,65,"210:214",-4,235,"Latest news »"
"48",48,NA,"ASA Târgu Mures",178,55,53,70,"179:213",-34,209,"Latest news »"
"49",49,NA,"Flacara Moreni",136,53,23,60,"180:198",-18,182,"Latest news »"
"50",50,NA,"FC Caracal",136,50,31,55,"145:147",-2,181,"Latest news »"
"51",51,NA,"CS Dinamo Brasov",138,43,41,54,"187:208",-21,170,"Latest news »"
"52",52,NA,"Dacia Unirea Braila",136,46,27,63,"141:190",-49,165,"Latest news »"
"53",53,NA,"Dunarea Galati",170,44,32,94,"174:310",-136,164,"Latest news »"
"54",54,NA,"ACS Poli Timisoara",154,37,47,70,"137:222",-85,144,"Latest news »"
"55",55,NA,"FC Hermannstadt",117,31,36,50,"112:154",-42,129,"Latest news »"
"56",56,NA,"Chindia Târgovi<U+0219>te",107,30,32,45,"90:119",-29,122,"Latest news »"
"57",57,NA,"Academica Clinceni",109,27,31,51,"105:172",-67,112,"Latest news »"
"58",58,NA,"Daco-Getica Bucure<U+0219>ti",92,30,19,43,"128:146",-18,109,"Latest news »"
"59",59,NA,"Minerul Lupeni",101,30,15,56,"106:207",-101,105,"Latest news »"
"60",60,NA,"Foresta Suceava",98,24,27,47,"102:145",-43,99,"Latest news »"
"61",61,NA,"FC Unirea Alba Iulia",94,24,21,49,"93:171",-78,93,"Latest news »"
"62",62,NA,"Ciocanul Bucuresti",56,24,10,22,"100:87",13,82,"Latest news »"
"63",63,NA,"AS Rocar Bucuresti",64,25,6,33,"93:108",-15,81,"Latest news »"
"64",64,NA,"CS Mioveni",98,15,27,56,"65:156",-91,72,"Latest news »"
"65",65,NA,"FC Onesti",68,21,6,41,"93:159",-66,69,"Latest news »"
"66",66,NA,"Unirea Tricolor",52,17,7,28,"85:127",-42,58,"Latest news »"
"67",67,NA,"Câmpulung Moldovenesc",32,15,9,8,"50:31",19,54,"Latest news »"
"68",68,NA,"Siderurgistul Gala<U+021B>i",52,13,10,29,"62:104",-42,49,"Latest news »"
"69",69,NA,"Carmen Bucuresti",26,14,5,7,"90:44",46,47,"Latest news »"
"70",70,NA,"Ferar Cluj",26,13,4,9,"44:29",15,43,"Latest news »"
"71",71,NA,"CSM Câmpia Turzii",48,7,19,22,"46:86",-40,40,"Latest news »"
"72",72,NA,"Sageata Navodari",34,10,8,16,"32:54",-22,38,"Latest news »"
"73",73,NA,"FC Dunarea Calara<U+0219>i",40,7,16,17,"24:43",-19,37,"Latest news »"
"74",74,NA,"International Curtea de Arges",34,10,6,18,"32:49",-17,36,"Latest news »"
"75",75,NA,"CSM Suceava",34,10,5,19,"36:69",-33,35,"Latest news »"
"76",76,NA,"FC Ploie<U+0219>ti",30,10,4,16,"48:86",-38,34,"Latest news »"
"77",77,NA,"Vagonul Arad",30,10,3,17,"40:60",-20,33,"Latest news »"
"78",78,NA,"Dermata Cluj",30,7,11,12,"41:50",-9,32,"Latest news »"
"79",79,NA,"CS Turnu Severin",34,7,11,16,"36:47",-11,32,"Latest news »"
"80",80,NA,"Vointa Sibiu",34,8,8,18,"24:45",-21,32,"Latest news »"
"81",81,NA,"FC Victoria Branesti",34,5,10,19,"35:61",-26,25,"Latest news »"
"82",82,NA,"Partizanul Bucuresti",22,5,8,9,"39:49",-10,23,"Latest news »"
"83",83,NA,"CS Otopeni",34,5,7,22,"32:54",-22,22,"Latest news »"
"84",84,NA,"Viitorul Bucuresti",14,6,3,5,"33:26",7,21,"Latest news »"
"85",85,NA,"<U+0218>oimii Sibiu",22,4,8,10,"28:38",-10,20,"Latest news »"
"86",86,NA,"Faur Bucure<U+0219>ti",26,5,4,17,"50:80",-30,19,"Latest news »"
"87",87,NA,"Extensiv Craiova",34,4,5,25,"26:66",-40,17,"Latest news »"
"88",88,NA,"Prahova Ploiesti",26,5,1,20,"26:97",-71,16,"Latest news »"
"89",89,NA,"UMT Timi<U+0219>oara",30,3,6,21,"24:71",-47,15,"Latest news »"
"90",90,NA,"Corona Brasov",34,2,8,24,"20:69",-49,14,"Latest news »"
"91",91,NA,"Avântul Reghin",24,3,3,18,"19:57",-38,12,"Latest news »"
"92",92,NA,"FC Craiova",26,2,0,24,"23:113",-90,6,"Latest news »"
"X.","Team","Team.1","M.","W","D","L","goals","Dif","Pt.","X1"
"1",1,NA,"Spartak Moskva",911,491,217,203,"1677:1011",666,1690,"Latest news »"
"2",2,NA,"CSKA Moskva",913,477,212,224,"1527:894",633,1643,"Latest news »"
"3",3,NA,"Lokomotiv Moskva",929,456,262,211,"1395:895",500,1630,"Latest news »"
"4",4,NA,"Zenit St. Petersburg",821,421,226,174,"1447:836",611,1489,"Latest news »"
"5",5,NA,"Dinamo Moskva",881,361,253,267,"1274:1044",230,1336,"Latest news »"
"6",6,NA,"FK Rostov",850,255,246,349,"954:1180",-226,1011,"Latest news »"
"7",7,NA,"Krylia Sovetov",824,257,221,346,"901:1126",-225,992,"Latest news »"
"8",8,NA,"Rubin Kazan",573,230,168,175,"751:607",144,858,"Latest news »"
"9",9,NA,"Torpedo Moskva",492,188,142,162,"642:604",38,706,"Latest news »"
"10",10,NA,"Spartak Vladikavkaz",488,179,109,200,"642:666",-24,646,"Latest news »"
"11",11,NA,"Akhmat Grozny",453,151,112,190,"498:622",-124,565,"Latest news »"
"12",12,NA,"Rotor Volgograd (old)",402,151,109,142,"576:517",59,562,"Latest news »"
"13",13,NA,"FK Krasnodar",332,154,88,90,"564:402",162,550,"Latest news »"
"14",14,NA,"FK Amkar Perm",434,123,139,172,"408:547",-139,508,"Latest news »"
"15",15,NA,"FK Ural",417,131,107,179,"493:620",-127,500,"Latest news »"
"16",16,NA,"FK Saturn",360,120,121,119,"396:379",17,481,"Latest news »"
"17",17,NA,"Anzhi Makhachkala",344,97,95,152,"381:490",-109,386,"Latest news »"
"18",18,NA,"FK Moskva",270,92,83,95,"295:311",-16,359,"Latest news »"
"19",19,NA,"Shinnik Yaroslavl",304,85,86,133,"301:419",-118,341,"Latest news »"
"20",20,NA,"Kuban Krasnodar (old)",284,75,96,113,"353:418",-65,321,"Latest news »"
"21",21,NA,"FK Tom Tomsk",284,75,77,132,"278:453",-175,302,"Latest news »"
"22",22,NA,"Chernomorets Novorossisk",248,74,65,109,"274:357",-83,287,"Latest news »"
"23",23,NA,"FK Ufa",229,58,75,96,"197:270",-73,249,"Latest news »"
"24",24,NA,"FC Zhemchuzhina-Sochi",222,61,57,104,"268:390",-122,240,"Latest news »"
"25",25,NA,"Lok. Nizhni Novgorod",230,61,54,115,"220:348",-128,237,"Latest news »"
"26",26,NA,"Arsenal Tula",199,60,41,98,"199:289",-90,221,"Latest news »"
"27",27,NA,"Spartak Nalchik",194,54,57,83,"230:279",-49,219,"Latest news »"
"28",28,NA,"Tekstilshchik Kamyshin",158,53,43,62,"182:189",-7,202,"Latest news »"
"29",29,NA,"FK Kamaz",162,51,32,79,"198:253",-55,179,"Latest news »"
"30",30,NA,"FK Elista",150,36,39,75,"138:225",-87,147,"Latest news »"
"31",31,NA,"Luch Vladivostok",124,34,32,58,"116:187",-71,134,"Latest news »"
"32",32,NA,"FK Khimki",139,32,37,70,"137:224",-87,133,"Latest news »"
"33",33,NA,"Baltika Kaliningrad",98,30,37,31,"114:111",3,127,"Latest news »"
"34",34,NA,"Fakel Voronezh",124,31,29,64,"107:183",-76,122,"Latest news »"
"35",35,NA,"FK Sochi",79,34,18,27,"121:93",28,120,"Latest news »"
"36",36,NA,"Dinamo Stavropol",94,27,23,44,"105:137",-32,104,"Latest news »"
"37",37,NA,"FK Tyumen",154,25,26,103,"124:346",-222,101,"Latest news »"
"38",38,NA,"FK Orenburg",90,26,22,42,"92:122",-30,100,"Latest news »"
"39",39,NA,"Volga Nizhniy Novgorod",104,25,16,63,"111:211",-100,91,"Latest news »"
"40",40,NA,"Mordovia Saransk",90,20,22,48,"82:150",-68,82,"Latest news »"
"41",41,NA,"Okean Nakhodka",64,22,14,28,"78:91",-13,80,"Latest news »"
"42",42,NA,"Presnya Moskva",60,19,11,30,"79:110",-31,68,"Latest news »"
"43",43,NA,"Sokol Saratov",60,17,13,30,"55:87",-32,64,"Latest news »"
"44",44,NA,"Lada Tolyatti",64,10,16,38,"42:105",-63,46,"Latest news »"
"45",45,NA,"FK Tambov",60,12,8,40,"56:106",-50,44,"Latest news »"
"46",46,NA,"FK Tosno",30,6,6,18,"23:54",-31,24,"Latest news »"
"47",47,NA,"FK Nizhny Novgorod",20,6,4,10,"19:31",-12,22,"Latest news »"
"48",48,NA,"Rotor Volgograd",30,5,7,18,"15:52",-37,22,"Latest news »"
"49",49,NA,"Sibir Novosibirsk",30,4,8,18,"34:58",-24,20,"Latest news »"
"50",50,NA,"Enisey Krasnoyarsk",30,4,8,18,"24:55",-31,20,"Latest news »"
"51",51,NA,"SKA-Khabarovsk",30,2,7,21,"16:55",-39,13,"Latest news »"
